nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
225 340 58 369 126 990 870
226 348 58 380 128 992 863
227 474 75 511 164 1262 1134
228 376 63 408 136 1063 959
229 353 59 381 130 1036 895
230 361 60 394 132 1042 913
231 298 50 326 111 885 778
232 306 51 338 113 910 791
233 360 60 394 132 1043 917
234 409 65 439 142 1131 1025
235 355 58 388 131 1018 905
236 413 64 447 142 1129 1002
237 373 59 398 130 1057 929
238 376 60 409 135 1077 947
239 354 58 383 127 1043 916
240 366 58 393 128 1038 928
241 380 60 414 139 1078 952
242 418 62 450 139 1131 1024
243 398 62 429 137 1124 977
244 385 61 419 138 1102 968
245 359 57 389 126 1043 924
246 360 56 389 127 1041 908
247 370 59 401 130 1079 945
248 397 60 433 134 1115 990
249 436 66 470 147 1225 1077
250 519 75 554 167 1395 1230
251 380 59 410 131 1098 973
252 366 57 400 127 1068 940
253 366 56 396 127 1080 943
254 388 59 420 132 1130 988
255 388 59 422 134 1125 999
256 426 65 462 145 1241 1088
257 430 66 465 146 1242 1089
258 431 66 466 147 1251 1112
259 453 68 492 151 1296 1135
260 435 69 466 148 1223 1091
261 458 68 494 153 1321 1161
262 422 64 456 143 1239 1077
263 627 87 668 194 1665 1500
264 441 65 467 145 1273 1102
265 444 66 477 148 1287 1132
266 444 66 479 147 1284 1124
267 554 77 580 171 1495 1345
268 482 71 517 163 1394 1217
269 502 72 540 161 1396 1237
270 564 81 612 181 1575 1381
271 520 74 565 167 1460 1319
272 486 69 523 154 1389 1208
273 477 68 508 152 1370 1197
274 468 67 504 154 1374 1193
275 440 64 473 143 1306 1115
276 529 76 568 170 1526 1327
277 530 75 569 168 1517 1315
278 553 77 576 172 1549 1345
279 520 73 553 166 1461 1284
280 503 71 540 159 1452 1274
281 517 73 556 169 1483 1300
282 532 73 571 165 1489 1346
283 521 71 554 160 1471 1294
284 588 80 634 185 1647 1450
285 490 68 527 154 1419 1265
286 465 64 502 148 1356 1203
287 511 70 548 159 1482 1311
288 648 85 681 192 1761 1596
289 571 77 605 174 1602 1430
290 626 83 656 188 1731 1530
291 648 84 690 194 1765 1580
292 576 79 616 178 1648 1450
293 506 69 541 157 1470 1295
294 483 66 519 150 1413 1244
295 516 69 554 160 1491 1290
296 527 71 565 162 1521 1341
297 609 79 650 182 1696 1542
298 583 77 623 177 1659 1461
299 539 72 577 165 1554 1369
300 608 79 647 186 1708 1497
301 524 69 561 160 1529 1330
302 524 69 562 161 1538 1347
303 530 69 567 160 1534 1353
304 562 74 606 175 1629 1445
305 631 80 667 185 1771 1566
306 661 85 713 196 1878 1651
307 720 92 765 207 1997 1766
308 606 77 649 178 1725 1519
309 754 92 801 213 2045 1819
310 608 78 649 179 1728 1511
311 595 76 647 177 1720 1520
312 606 78 645 178 1747 1521
313 597 75 633 178 1725 1521
314 644 81 684 185 1826 1639
315 592 74 627 173 1690 1512
316 580 73 620 172 1685 1511
317 592 74 634 173 1728 1530
318 576 72 614 170 1697 1517
319 574 71 609 165 1662 1485
320 593 74 636 172 1751 1555
321 686 82 714 190 1920 1687
322 791 94 835 218 2148 1979
323 991 116 1051 262 2638 2402
324 803 98 850 218 2193 1957
325 810 98 857 231 2255 2013
326 1007 113 1055 262 2666 2357
327 751 92 794 212 2151 1908
328 621 76 661 178 1836 1589
329 691 82 722 190 1973 1723
330 697 84 738 196 1992 1768
331 600 73 639 172 1767 1559
332 720 87 760 202 2064 1842
333 865 101 909 240 2378 2133
334 1018 111 1062 265 2652 2378
335 1176 126 1223 294 2974 2752
336 1149 126 1198 290 2986 2679
337 777 88 805 206 2139 1909
338 791 94 833 216 2215 1982
339 665 77 696 182 1883 1674
340 813 94 867 220 2309 2056
341 770 89 805 207 2185 1918
342 697 81 741 192 1998 1791
343 706 82 750 193 2028 1786
344 742 85 793 208 2121 1863
345 781 89 830 209 2182 1951
346 872 96 913 227 2368 2123
347 844 99 893 225 2361 2107
348 776 88 817 209 2202 1979
349 773 89 823 211 2248 1984
350 864 96 913 229 2390 2165
351 869 98 922 232 2463 2148
352 1026 109 1057 256 2755 2446
353 1134 118 1185 284 3026 2673
354 783 88 826 208 2256 1971
355 776 85 821 205 2211 1964
356 773 87 817 206 2198 1953
357 751 85 794 201 2173 1904
358 726 81 765 193 2109 1853
359 904 100 946 236 2546 2257
360 995 108 1046 256 2806 2491
361 792 88 831 207 2243 1990
362 810 93 850 211 2341 2039
363 771 85 810 203 2204 1949
364 844 91 886 220 2379 2122
365 933 99 973 237 2571 2306
366 841 91 884 220 2377 2121
367 754 83 799 200 2199 1941
368 839 91 889 217 2418 2121
369 1298 129 1346 306 3331 3035
370 829 90 873 215 2350 2090
371 1141 119 1187 282 3141 2806
372 885 96 927 228 2523 2202
373 899 96 938 230 2545 2291
374 836 91 876 220 2382 2123
375 828 90 875 213 2386 2096
376 877 93 917 222 2486 2199
377 830 88 874 211 2390 2118
378 917 98 966 232 2584 2298
379 1092 113 1133 267 2996 2674
380 911 96 952 230 2576 2289
381 1203 124 1248 293 3323 2973
382 898 95 943 230 2587 2276
