nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
204 45 45 446 446 13330 13330
205 46 46 448 448 13396 13396
206 46 46 449 449 13598 13598
207 46 46 452 452 13726 13726
208 46 46 455 455 13817 13817
209 46 46 453 453 13983 13983
210 46 46 458 458 14113 14113
211 46 46 458 458 14244 14244
212 46 46 460 460 14390 14390
213 46 46 465 465 14499 14499
214 47 47 467 467 14675 14675
215 46 46 472 472 14760 14760
216 46 46 472 472 14921 14921
217 46 46 475 475 15047 15047
218 46 46 477 477 15250 15250
219 46 46 476 476 15370 15370
220 47 47 479 479 15509 15509
221 46 46 483 483 15640 15640
222 47 47 481 481 15770 15770
223 46 46 488 488 15859 15859
224 47 47 490 490 16067 16067
225 47 47 495 495 16182 16182
226 47 47 497 497 16356 16356
227 47 47 498 498 16502 16502
228 47 47 500 500 16668 16668
229 47 47 503 503 16816 16816
230 47 47 506 506 16953 16953
231 47 47 509 509 17082 17082
232 47 47 510 510 17216 17216
233 47 47 515 515 17404 17404
234 47 47 518 518 17562 17562
235 47 47 518 518 17657 17657
236 47 47 520 520 17868 17868
237 48 48 522 522 17979 17979
238 47 47 524 524 18209 18209
239 47 47 526 526 18245 18245
240 48 48 530 530 18465 18465
241 47 47 534 534 18600 18600
242 48 48 536 536 18791 18791
243 47 47 536 536 18913 18913
244 47 47 539 539 19065 19065
245 48 48 540 540 19264 19264
246 47 47 542 542 19412 19412
247 47 47 548 548 19544 19544
248 48 48 551 551 19706 19706
249 48 48 549 549 19931 19931
250 48 48 555 555 20035 20035
251 48 48 556 556 20203 20203
252 48 48 556 556 20359 20359
253 48 48 558 558 20530 20530
254 48 48 561 561 20671 20671
255 48 48 567 567 20879 20879
256 49 49 564 564 21019 21019
257 49 49 573 573 21194 21194
258 48 48 571 571 21325 21325
259 48 48 573 573 21448 21448
260 49 49 575 575 21710 21710
261 49 49 579 579 21864 21864
262 48 48 582 582 21988 21988
263 49 49 581 581 22178 22178
264 48 48 586 586 22364 22364
265 49 49 590 590 22504 22504
266 49 49 595 595 22688 22688
267 49 49 594 594 22867 22867
268 49 49 598 598 23037 23037
269 49 49 598 598 23216 23216
270 49 49 601 601 23413 23413
271 49 49 605 605 23523 23523
272 49 49 607 607 23741 23741
273 49 49 608 608 23890 23890
274 49 49 610 610 24038 24038
275 49 49 611 611 24271 24271
276 49 49 614 614 24410 24410
277 49 49 623 623 24591 24591
278 50 50 623 623 24780 24780
279 50 50 624 624 24927 24927
280 49 49 629 629 25124 25124
281 50 50 625 625 25369 25369
282 50 50 630 630 25568 25568
283 50 50 631 631 25670 25670
284 50 50 638 638 25864 25864
285 50 50 634 634 26035 26035
286 49 49 643 643 26225 26225
287 50 50 644 644 26434 26434
288 49 49 648 648 26569 26569
289 50 50 646 646 26835 26835
290 50 50 650 650 26998 26998
291 50 50 653 653 27193 27193
292 50 50 656 656 27363 27363
293 50 50 653 653 27524 27524
294 50 50 667 667 27687 27687
295 50 50 659 659 27870 27870
296 51 51 661 661 28107 28107
297 50 50 668 668 28300 28300
298 50 50 668 668 28575 28575
299 50 50 671 671 28675 28675
300 51 51 674 674 28903 28903
